,filename,cgpa,sgpa
0,/content/btech/found/22010305044_1800265770.html,2.8333333333,2.8333333333
1,/content/btech/found/23010603001_1800266016.html,4.61,4.61
2,/content/btech/found/22010205044_1800265771.html,3.65,3.21
3,/content/btech/found/22020107022_1800265595.html,5.22,5.22
4,/content/btech/found/21010305055_1800265395.html,5.96,5.96
5,/content/btech/found/21010304049_1800265596.html,4.58,4.58
6,/content/btech/found/20011103010_1800265284.html,6.78,4.88
7,/content/btech/found/21020401001_1800265934.html,8.05,8.22
8,/content/btech/found/20010205034_1800265550.html,6.61,5.50
9,/content/btech/found/21021201007_1800265469.html,5.16,2.63
10,/content/btech/found/23010304059_1800265989.html,3.17,3.17
11,/content/btech/found/20010603046_1800265284.html,7.38,7.13
12,/content/btech/found/21011003003_1800265362.html,2.50,2.50
13,/content/btech/found/22010501003_1800265812.html,5.96,5.13
14,/content/btech/found/22010104043_1800265818.html,4.46,4.46
15,/content/btech/found/20010401046_1800265814.html,6.92,7.30
16,/content/btech/found/22010501069_1800265928.html,5.08,5.08
17,/content/btech/found/22011305001_1800265530.html,4.21,4.21
18,/content/btech/found/20010305025_1800265532.html,8.43,8.56
19,/content/btech/found/22010301057_1800265786.html,5.25,5.25
20,/content/btech/found/21011303012_1800266007.html,7.10,7.00
21,/content/btech/found/22010603067_1800266006.html,2.08,2.08
22,/content/btech/found/23010306070_1800265980.html,3.52,3.52
23,/content/btech/found/22020101002_1800265468.html,8.19,8.19
24,/content/btech/found/20010205007_1800265219.html,6.28,5.23
25,/content/btech/found/21010301004_1800265813.html,5.32,3.63
26,/content/btech/found/21011203019_1800266011.html,7.14754098360656,7.79166666666667
27,/content/btech/found/22010203025_1800265758.html,5.65,5.54
28,/content/btech/found/22021201038_1800265468.html,2.77,2.77
29,/content/btech/found/20010205002_1800265903.html,5.73,5.56
30,/content/btech/found/21020107005_1800265281.html,6.96,6.52
31,/content/btech/found/21011103014_1800265238.html,7.71,7.71
32,/content/btech/found/20010107001_1800265540.html,8.27,8.56
33,/content/btech/found/20010101001_1800265499.html,6.18,4.69
34,/content/btech/found/21011103016_1800265587.html,6.96,6.96
35,/content/btech/found/22010205057_1800265530.html,2.29,2.29
36,/content/btech/found/22010205028_1800265771.html,2.67,1.79
37,/content/btech/found/22010101038_1800265929.html,4.60,4.17
38,/content/btech/found/22010101025_1800265467.html,2.33,2.33
39,/content/btech/found/21010501026_1800265931.html,6.85,6.92
40,/content/btech/found/15779_1800265944.html,"Result  CE-701 ,",Total  R
41,/content/btech/found/21011303010_1800265588.html,4.29,3.25
42,/content/btech/found/20010203013_1800265284.html,7.02,6.88
43,/content/btech/found/23010304024_1800265989.html,7.70,7.70
44,/content/btech/found/20010305029_1800265275.html,7.17,6.04
45,/content/btech/found/20010104036_1800265988.html,6.83,5.61
46,/content/btech/found/21010505028_1800265531.html,7.12,6.85
47,/content/btech/found/22011403027_1800266009.html,7.94594594594595,7.92307692307692
48,/content/btech/found/20010603034_1800266013.html,8.16666666666667,8.39130434782609
49,/content/btech/found/21010603006_1800265760.html,7.39,7.23
50,/content/btech/found/21021201008_1800265934.html,6.23,5.74
51,/content/btech/found/23010305022_1800265979.html,7.04,7.04
52,/content/btech/found/20010505024_1800265904.html,6.81,6.22
53,/content/btech/found/23010505033_1800265979.html,4.83,4.83
54,/content/btech/found/21020901001_1800265267.html,4.44,3.71
55,/content/btech/found/22011003016_1800265587.html,2.79,2.79
56,/content/btech/found/21021003006_1800266013.html,6.70161290322581,6.34782608695652
57,/content/btech/found/20011101009_1800265933.html,6.80,5.48
58,/content/btech/found/21021001009_1800265500.html,3.34,3.88
